2015-03-27 16:20:39,419 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: japp:japp:0.0.1-SNAPSHOT @ C:\Users\joao.carvalho\Documents\GitHub\japp-rep\japp\pom.xml.
2015-03-27 16:20:39,419 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: japp:japp:0.0.1-SNAPSHOT @ C:\Users\joao.carvalho\Documents\GitHub\japp-rep\japp\pom.xml.
2015-03-27 16:20:47,793 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-27 16:20:47,799 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-03-27 16:20:47,840 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-27 16:20:47,840 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\joao.carvalho\Documents\GitHub\japp-rep\japp\src\test\resources
2015-03-27 16:20:48,278 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: japp:japp:0.0.1-SNAPSHOT @ C:\Users\joao.carvalho\Documents\GitHub\japp-rep\japp\pom.xml.
2015-03-27 16:20:48,321 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: japp:japp:0.0.1-SNAPSHOT @ C:\Users\joao.carvalho\Documents\GitHub\japp-rep\japp\pom.xml.
2015-03-27 16:20:51,955 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-27 16:20:51,962 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-03-27 16:20:51,965 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-27 16:20:51,965 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\joao.carvalho\Documents\GitHub\japp-rep\japp\src\test\resources
2015-03-27 16:21:37,318 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-27 16:21:37,321 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-03-27 16:21:37,325 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-27 16:21:37,325 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\joao.carvalho\Documents\GitHub\japp-rep\japp\src\test\resources
2015-03-27 16:21:44,293 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-27 16:21:44,296 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-03-27 16:21:44,300 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-27 16:21:44,300 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\joao.carvalho\Documents\GitHub\japp-rep\japp\src\test\resources
2015-03-27 16:28:06,983 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: japp:japp:0.0.1-SNAPSHOT @ C:\Users\joao.carvalho\Documents\GitHub\japp-rep\japp\pom.xml.
2015-03-27 16:28:08,009 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-27 16:28:08,010 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-03-27 16:28:08,011 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-27 16:28:08,012 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\joao.carvalho\Documents\GitHub\japp-rep\japp\src\test\resources
2015-03-27 16:30:01,333 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-27 16:30:01,335 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-03-27 16:30:01,337 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-27 16:30:01,338 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\joao.carvalho\Documents\GitHub\japp-rep\japp\src\test\resources
